HIP439;00 05 24.42828 -37 21 26.5010; 8.562;M2V;OBSERVADA
HIP1242;00 15 28.11090 -16 08 01.6303;11.483;M4V;OBSERVADA
HIP5496;01 10 22.90274 -67 26 41.8529; 9.824;M2.5V;OBSERVADA
HIP5643;01 12 30.63918 -16 59 56.3353;12.074;M4.0Ve ;OBSERVADA
HIP9724;02 05 04.84506 -17 36 52.6939;10.189;M2.5 ;OBSERVADA
HIP9786;02 05 48.55477 -30 10 35.8986;12.167;M2.5+V ;OBSERVADA
HIP12781;02 44 15.50904 +25 31 24.1088;10.563;M3V;OBSERVADA
HIP21932;04 42 55.7749 +18 57 29.399; 9.951;M2.5V;OBSERVADA
HIP23452;05 02 28.42030 -21 15 23.9203; 8.317;K7V;OBSERVADA
HIP23512;05 03 20.08559 -17 22 24.7421;11.735;M3V;OBSERVADA
HIP23932;05 08 35.0450 -18 10 19.378;10.302;M3.5V;OBSERVADA
HIP24186;05 11 40.58112 -45 01 06.2899; 8.853;M1VIp;OBSERVADA
HIP25578;05 28 00.15251 +09 38 38.1399;12.443;M3.5Ve ;NAO_OBSERVADA
HIP25878;05 31 27.3958 -03 40 38.021; 7.968;M1.5Ve ;OBSERVADA
HIP26857;05 42 09.26772 +12 29 21.6225;11.509;M4V;NAO_OBSERVADA
HIP29295;06 10 34.6157 -21 51 52.722; 8.125;M1V;OBSERVADA
HIP30920;06 29 23.40669 -02 48 50.2706;11.071;M4.5V;OBSERVADA
HIP31293;06 33 43.29814 -75 37 47.9759;10.484;M2V;NAO_OBSERVADA
HIP31292;06 33 46.84863 -75 37 30.2972;11.419;M3V;NAO_OBSERVADA
HIP31635;06 37 10.7989 +17 33 53.335; 9.593;M0.0Ve ;OBSERVADA
HIP33499;06 57 46.60263 -44 17 28.3117;10.846;M3.5V;OBSERVADA
HIP36208;07 27 24.49975 +05 13 32.8332; 9.872;M3.5V;OBSERVADA
HIP37766;07 44 40.17401 +03 33 08.8350;11.225;M4.0Ve ;OBSERVADA
HIP40501;08 16 07.9813 +01 18 09.266;10.091;M2.0V;OBSERVADA
HIP46655;09 30 44.58334 +00 19 21.5651;11.710;M3.5Ve ;OBSERVADA
HIP47103;09 36 01.6372 -21 39 38.878;10.906;M2.5V;OBSERVADA
HIP47425;09 39 46.3688 -41 04 03.205;10.694;M3 ;OBSERVADA
HIP47780;09 44 29.8367 -45 46 35.419; 9.979;M1.0 ;OBSERVADA
HIP49986;10 12 17.66904 -03 44 44.3966; 9.264;M2V;OBSERVADA
HIP51317;10 28 55.55087 +00 50 27.6218; 9.650;M1/2V;OBSERVADA
HIP53020;10 50 52.0311 +06 48 29.260;11.675;M4V;OBSERVADA
HIP53767;11 00 04.25686 +22 49 58.6491;10.020;M4V;OBSERVADA
HIP56528;11 35 26.9477 -32 32 23.884; 9.813;M1.5 ;OBSERVADA
HIP57548;11 47 44.3974 +00 48 16.395;11.153;M4V;OBSERVADA
HIP60559;12 24 52.50278 -18 14 32.2435;11.272;M2 ;OBSERVADA
HIP61629;12 37 52.21838 -52 00 05.3142;10.663;M3V(e) ;OBSERVADA
HIP61874;12 40 46.28898 -43 33 58.9535;12.239;M3V;OBSERVADA
HIP62452;12 47 56.62550 +09 45 05.0355;11.395;M3.5Ve ;OBSERVADA
HIP65859;13 29 59.78622 +10 22 37.7908; 9.029;M0V;OBSERVADA
HIP66906;13 42 43.27003 +33 17 24.3552;11.999;M4V;NAO_OBSERVADA
HIP67155;13 45 43.77665 +14 53 29.4635; 8.50 ;M2V;OBSERVADA
HIP70890;14 29 42.94853 -62 40 46.1631;11.13 ;M5.5Ve ;OBSERVADA
HIP71253;14 34 16.81183 -12 31 10.3965;11.317;M3.5V;OBSERVADA
HIP72509;14 49 31.76303 -26 06 42.6229;12.066;M1.5V;OBSERVADA
HIP72511;14 49 32.62621 -26 06 20.1915;11.656;M1.5V;OBSERVADA
HIP72944;14 54 29.23710 +16 06 03.8270;10.150;M3V;OBSERVADA
HIP73182;14 57 26.53330 -21 24 41.5778; 8.065;M1.5V;OBSERVADA
HIP74995;15 19 26.823 -07 43 20.21;10.560;M3V;OBSERVADA
HIP76074;15 32 12.93186 -41 16 32.1081; 9.311;M2.5V;OBSERVADA
HIP76901;15 42 06.54129 -19 28 18.3133;11.855;M3 ;OBSERVADA
HIP80018A;16 20 03.509 -37 31 44.80; 10.586;M3V;OBSERVADA
HIP80824;16 30 18.0584 -12 39 45.325;10.072;M3V;OBSERVADA
HIP82724;16 54 32.14574 -62 23 58.8490;11.772;Mp ;OBSERVADA
HIP82725;16 54 32.50436 -62 24 11.7766;11.58 ;K0IV ;NAO_OBSERVADA
HIP82809;16 55 25.2227 -08 19 21.299;11.759;M3.5V;OBSERVADA
HIP82817;16 55 28.75758 -08 20 10.7876; 9.023;M3.5Ve ;OBSERVADA
HIP84581;17 17 23.344 -07 52 34.61;11.169;F0IV ;OBSERVADA
HIP85295;17 25 45.2323 +02 06 41.122; 7.56 ;M1V;OBSERVADA
HIP85523;17 28 39.94461 -46 53 42.6930; 9.407;M3V;OBSERVADA
HIP85605;17 29 36.24527 +24 39 14.1204;11.03 ;~;NAO_OBSERVADA
HIP85665;17 30 22.7283 +05 32 54.664; 9.433;M1.0Ve ;OBSERVADA
HIP86057;17 35 13.6115 -48 40 51.041;10.127;M3V;OBSERVADA
HIP86214;17 37 03.66242 -44 19 09.1697;10.946;M3.5 ;OBSERVADA
HIP86287;17 37 53.34690 +18 35 30.1613; 9.577;M1.5Ve ;OBSERVADA
HIP86961;17 46 12.50118 -32 06 12.7030;10.485;M1.5 ;OBSERVADA
HIP86963;17 46 14.43847 -32 06 08.0391;11.411;M2.5 ;OBSERVADA
HIP86990;17 46 34.22971 -57 19 08.5550;10.783;M3.5V;OBSERVADA
HIP87937;17 57 48.49803 +04 41 36.2072; 9.511;M4V;OBSERVADA
HIP88574;18 05 07.57896 -03 01 52.7575; 9.360;K4/5V;OBSERVADA
HIP92403;18 49 49.36216 -23 50 10.4291;10.495;M3.5Ve ;OBSERVADA
HIP93873;19 07 05.5647 +20 53 16.941;10.774;M2.0V;OBSERVADA
HIP93899;19 07 13.2040 +20 52 37.260;10.771;M2V;OBSERVADA
HIP94761;19 16 55.2566 +05 10 08.042; 9.115;M3-V ;OBSERVADA
HIP99701;20 13 53.39765 -45 09 50.4723; 7.966;M0V;OBSERVADA
HIP102409;20 45 09.53147 -31 20 27.2425; 8.627;M1VeBa1;NAO_OBSERVADA
HIP103039;20 52 33.01679 -16 58 29.0249;11.458;M4V;OBSERVADA
HIP105090;21 17 15.26879 -38 52 02.4958; 6.68 ;M1V;NAO_OBSERVADA
HIP106106;21 29 36.81225 +17 38 35.8542;10.303;M3.0Ve ;OBSERVADA
HIP106255;21 31 18.61192 -09 47 26.4617;12.006;M4.5V;OBSERVADA
HIP106440;21 33 33.97533 -49 00 32.4192; 8.672;M2/3V;OBSERVADA
HIP108706;22 01 13.12547 +28 18 24.8670;12.005;M3.5Ve ;OBSERVADA
HIP109388;22 09 40.3445 -04 38 26.648;10.366;M3.5V;OBSERVADA
HIP111802;22 38 45.5747 -20 37 16.081; 9.083;M0Vep;OBSERVADA
HIP113020;22 53 16.73352 -14 15 49.3186;10.192;M3.5V;OBSERVADA
HIP113229;22 55 45.50948 -75 27 31.2069;10.377;M3V;OBSERVADA
HIP113296;22 56 34.8046 +16 33 12.355; 8.638;M1.5Ve ;OBSERVADA
HIP113576;23 00 16.1223 -22 31 27.649; 7.869;K7+Vk;OBSERVADA
HIP114046;23 05 52.03604 -35 51 11.0475; 7.34 ;M2V;NAO_OBSERVADA
HIP116132a;23 31 52.172 +19 56 14.26;10.165;M4+M5;NAO_OBSERVADA
HIP117473;23 49 12.5253 +02 24 04.402; 8.993;M1VFe-1;OBSERVADA
HIP58345;11 57 56.2065 -27 42 25.365; 6.964;K4+V ;OBSERVADA
HIP67422;13 49 04.00130 +26 58 47.6815; 7.01 ;K4V+K6V;NAO_OBSERVADA
HIP73184;14 57 28.00144 -21 24 55.7131; 5.72 ;K4V;OBSERVADA
HIP80018B;16 20 03.212 -37 31 48.59; ~;M5;NAO_OBSERVADA
