GJ1001A;2MASS J00043643-4044020
GJ1;2MASS J00052423-3721257
LHS1019;2MASS J00061920-6550262
L217-28;2MASS J00081737-5705528
GJ1005;2MASS J00152799-1608008
LHS1051;2MASS J00155156-6759519
GJ17.1;2MASS J00211961-4544465
LHS5004a;2MASS J00213729-4605331
GJ1009;2MASS J00215604-3124215
LHS1064;2MASS J00231851-5053380
LTT220;2MASS J00250428-3646176
GJ1012;2MASS J00283948-0639481
GJ1013;2MASS J00313539-0552115
LTT313;2MASS J00353808-1004186
GJ1016;2MASS J00413051-3337317
LHS1134;2MASS J00432603-4117337
L87-2;2MASS J00571247-6415240
GJ46;2MASS J00582789-2751251
LP707-16;2MASS J01101752-1151175
GJ54;2MASS J01102281-6726425
GJ54.1;2MASS J01123052-1659570
L221-60;2MASS J01143421-5356316
GJ1036;2MASS J01171538-3542569
GJ57;2MASS J01213447-4139226
LHS142;2MASS J01322625-2154172
GJ65;2MASS J01390120-1757026
L870-44;2MASS J01463681-0838578
L294-92;2MASS J01474254-4836055
L173-39;2MASS J01482616-5658414
GJ78;2MASS J01514865-1048120
GJ79;2MASS J01524908-2226055
LTT1010;2MASS J01531133-2105433
L88-43;2MASS J01533707-6653341
L655-17;2MASS J02032076-2113427
GJ84;2MASS J02050492-1736528
LHS1339;2MASS J02054859-3010361
GJ85;2MASS J02072345-6634113
LHS1347;2MASS J02093608-1421321
LHS1351;2MASS J02111797-6313413
GJ91;2MASS J02135359-3202282
LHS1373;2MASS J02154883-1240276
LHS1377;2MASS J02164119-3059181
GJ1046;2MASS J02191003-3646413
L225-57;2MASS J02342120-5305366
GJ103;2MASS J02342256-4347467
L174-28;2MASS J02375278-5845110
GJ1050;2MASS J02395066-3407557
LP993-115;2MASS J02451070-4344319
CD-53570;2MASS J02500975-5308204
GJ118;2MASS J02522213-6340475
LTT1445;2MASS J03015107-1635306
GJ121.1;2MASS J03023801-1809587
LHS1491;2MASS J03040452-2022433
GJ1054;2MASS J03075577-2813108
GJ130;2MASS J03122972-3805204
LP831-45;2MASS J03141813-2309297
LP831-68;2MASS J03164779-2125260
LP994-96;2MASS J03184548-4051343
LTT17505;2MASS J03214689-0640242
GJ145;2MASS J03325585-4442070
LHS1572;2MASS J03380997-6856460
G80-21;2MASS J03472333-0158195
GJ1065;2MASS J03504432-0605400
LHS1630;2MASS J04072048-2429129
GJ163;2MASS J04091567-5322254
LP715-51;2MASS J04310905-1330523
LP834-32;2MASS J04353618-2527347
L591-42;2MASS J04364086-2721180
GJ173;2MASS J04374188-1102198
LP715-39;2MASS J04383718-1130145
LP776-25;2MASS J04522441-1649219
GJ180;2MASS J04534995-1746235
LHS1723;2MASS J05015746-0656459
GJ185;2MASS J05022845-2115236
LHS1731;2MASS J05032009-1722245
GJ190;2MASS J05083500-1810178
GJ191;2MASS J05114046-4501051
GJ1077;2MASS J05165967-7817203
L449-1;2MASS J05172292-3521545
LP717-36;2MASS J05254166-0909123
GJ204.2;2MASS J05295204-0326295
GJ205;2MASS J05312734-0340356
LHS5109;2MASS J05360007-0738580
LP837-19;2MASS J05445704-2136561
GJ218;2MASS J05474051-3619425
LP837-53;2MASS J05554318-2651233
LTT2449;2MASS J06045215-3433360
LP838-16;2MASS J06074375-2544414
GJ229;2MASS J06103462-2151521
GJ1088;2MASS J06105288-4324178
GJ234;2MASS J06292339-0248499
L32-9;2MASS J06334337-7537482
GJ238;2MASS J06334998-5831426
LP780-32;2MASS J06393742-2101333
