GJ1001A;GJ1001A
GJ1;HIP439
LHS1019;HIP523
L217-28;LTT57
GJ1005;HIP1242
LHS1051;GJ3018
GJ17.1;HIP1696
LHS5004a;HIP1720
GJ1009;HIP1734
LHS1064;HIP1842
LTT220;G267-100
GJ1012;LHS1084
GJ1013;LHS113
LTT313;G270-12
GJ1016;HIP3261
LHS1134;GJ3049
L87-2;UCAC4129-000857
GJ46;HIP4569
LP707-16;G270-164
GJ54;HIP5496
GJ54.1;HIP5643
L221-60;HIP5812
GJ1036;HIP6005
GJ57;HIP6351
LHS142;HIP7170
GJ65;GJ65
L870-44;L870-44
L294-92;L294-92
L173-39;L173-39
GJ78;HIP8691
GJ79;HIP8768
LTT1010;BD-21332
L88-43;L88-43
L655-17;BD-21368
GJ84;HIP9724
LHS1339;HIP9786
GJ85;GJ85
LHS1347;HIP10072
LHS1351;L125-51
GJ91;HIP10395
LHS1373;L800-18
LHS1377;HIP10617
GJ1046;HIP10812
L225-57;L225-57
GJ103;HIP11964
L174-28;HIP12261
GJ1050;GJ1050
LP993-115;CD-44836A
CD-53570;HIP13218
GJ118;HIP13389
LTT1445;BD-17588B
GJ121.1;HIP14165
LHS1491;LP771-77
GJ1054;HIP14555
GJ130;CD-381058
LP831-45;LP831-45
LP831-68;LP831-68
LP994-96;LP994-96
LTT17505;G77-46
GJ145;HIP16536
LHS1572;L91-140
G80-21;HIP17695
GJ1065;G160-28
LHS1630;LHS1630
GJ163;HIP19394
LP715-51;HIP21086
LP834-32;LP834-32
L591-42;L591-42
GJ173;HIP21556
LP715-39;LP715-39
LP776-25;LP776-25
GJ180;HIP22762
LHS1723;LP656-38
GJ185;HIP23452
LHS1731;HIP23512
GJ190;HIP23932
GJ191;HIP24186
GJ1077;LHS205
L449-1;CD-352213
LP717-36;LP717-36
GJ204.2;Wolf1450
GJ205;HIP25878
LHS5109;Wolf1457
LP837-19;LP837-19
GJ218;HIP27359
LP837-53;HIP28035
LTT2449;V*APCol
LP838-16;HIP29052
GJ229;HIP29295
GJ1088;GJ1088
GJ234;HIP30920
L32-9;HIP31293
