GJ1001A;L362-29
GJ1;HD225213
LHS1019;L86-21
L217-28;L217-28
GJ1005;L722-22
LHS1051;L86-66
GJ17.1;CD-4676
LHS5004a;L290-28
GJ1009;BPM46239
LHS1064;L218-16
LTT220;G267-100
GJ1012;L867-16
GJ1013;LHS113
LTT313;G270-12
GJ1016;CD-34239
LHS1134;L363-38
L87-2;L87-2
GJ46;L580-76
LP707-16;G270-164
GJ54;L87-59
GJ54.1;L725-32
L221-60;L221-60
GJ1036;CD-36491
GJ57;L365-17
LHS142;L654-28
GJ65;L726-8
L870-44;L870-44
L294-92;L294-92
L173-39;L173-39
GJ78;Ross555
GJ79;HD11507
LTT1010;BD-21332
L88-43;L88-43
L655-17;L655-17
GJ84;L727-32
LHS1339;L511-7
GJ85;L89-27
LHS1347;L728-1
LHS1351;L125-51
GJ91;L512-25
LHS1373;L800-18
LHS1377;L512-14
GJ1046;L440-30
L225-57;L225-57
GJ103;V*CCEri
L174-28;L174-28
GJ1050;L513-23
LP993-115;CD-44836A
CD-53570;CD-53570
GJ118;L127-97
LTT1445;BD-17588B
GJ121.1;LP771-72
LHS1491;LP771-77
GJ1054;CD-281030
GJ1054;L587-51
GJ130;L443-48
LP831-45;LP831-45
LP831-68;LP831-68
LP994-96;LP994-96
LTT17505;G77-46
GJ145;CD-451184
LHS1572;L91-140
G80-21;G80-21
GJ1065;G160-28
LHS1630;LHS1630
GJ163;L229-91
LP715-51;LP715-51
LP834-32;LP834-32
L591-42;L591-42
GJ173;BD-11916
LP715-39;LP715-39
LP776-25;LP776-25
GJ180;L736-30
LHS1723;LP656-38
GJ185;HD32450
LHS1731;L736-49
GJ190;L737-9
GJ191;NAMEKapteyn'sstar
GJ1077;L31-84
L449-1;L449-1
LP717-36;LP717-36
GJ204.2;Wolf1450
GJ205;HD36395
LHS5109;L882-76
LP837-19;LP837-19
GJ218;L451-9
LP837-53;LP837-53
LTT2449;L523-55
LP838-16;LP838-16
GJ229;L668-21
GJ1088;L380-78
GJ234;Ross614
L32-9;L32-9
GJ238;L182-44
LP780-32;LP780-32
CD-551514;CD-551514
LP780-23;LP780-23
NLTT16977;NLTT16977
L597-18;L597-18
GJ257;CD-443045
GJ263;Ross54
LHS225;L455-111
GJ2055;L671-20
LP840-16;LP840-16
L136-37;L136-37
GJ1097;LHS1920
GJ2060;CD-294446
LHS1932;L240-16
L528-16;L528-16
LHS1935;L672-9
L34-26;L34-26
LHS1955;L601-78
GJ298;L242-66
GJ300;L674-15
LHS1991;L818-83
LHS1992;L34-16
LP843-16;LP843-16
L98-59;L98-59
LHS2010;L387-102
LTT3201;G114-10
GJ317;L675-81
GJ326;L820-19
GJ334;BD-082582
L749-34;L749-34
LHS2122;L140-119
GJ341;L140-9
Ross439;Ross439
GJ352;Ross440
GJ357;L678-39
GJ358;L390-5
LHS2177;L750-79
GJ1128;L100-115
GJ367;CD-455378
GJ1129;L750-52
LTT3613;LP728-70
GJ369;BD-112741
LTT3616;LP788-49
GJ372;BD-023000
LP847-48;LP847-48
GJ375;CD-455627
GJ377;L535-3
GJ381;L968-22
GJ382;V*ANSex
GJ386;L824-28
LTT3790;L392-39A
LDS303;**LDS303
L142-86;L142-86
GJ390;L824-1
LTT3877;G162-70
GJ399;L897-16
GJ1135;CD-366589
LP905-56;LP905-56
LHS2335;GJ3634
HIP54373;BD-183106
GJ413.1;L683-112
GJ422;L192-72
GJ1144;BD-133333
GJ1145;CD-277978
LP792-17;LP792-17
LP672-42;LP672-42
GJ431;V*V857Cen
L324-51;L324-51
LHS2427;L684-81
L66-86;L66-86
GJ433;L907-1
GJ438;L252-28
LP793-33;LP793-33
GJ443;L829-26
LHS2460;LP733-24
GJ452;L901-10
LHS5205;L829-24
L829-10;L829-10
LP734-30;LP734-30
LHS2520;LP734-32
L758-108;L758-108
NLTT30359;L18-22
L38-47;L38-47
GJ465;Ross695
LP735-48;Ross946
LP735-11;Ross948
L327-121;L327-121
GJ477;CD-457872
GJ479;L255-20
LHS337;L471-42
GJ480.1;GJ9415
LHS2634;L976-35
LP853-34;LP853-34
GJ488;HD111631
LHS5231;L1048-25
LTT4969;Ross972
LHS2668;L147-101
LTT5031;G14-34
LHS346;L472-66
WT392;WT392
LHS2718;L473-1
LHS2729;L617-35
GJ510;L618-87
Ross486A;Ross486A
LTT5282;Ross488
GJ521.1;L978-70
LHS2794;L762-51
LHS2813;L258-126
GJ1181;HD121271
LHS2836;L763-63
GJ536;L979-36
2MASSJ14040823-6614378;L106-15
CD-3011219;CD-3011219
GJ2106;CD-565362
GJ545;Ross848
GJ553;L909-74
GJ552.1;L260-93
GJ553.1;Wolf1478
GJ555;BD-113759
GJ563.2A;L622-8
LP859-11;LP859-11
G151-37;G152-1
LHS3056;L839-21
GJ581;BD-074003
GJ588;CD-409712
GJ590;L480-69
GJ592;Ross802
GJ595;L768-119
LHS3117;L841-9
GJ606;BD-074156
LP804-27;LP804-27
LHS3169;L626-41
CD-3710765;CD-3710765
GJ620;CD-2412677
GJ622;BD-214352
GJ628;BD-124523
LHS423;L555-14
GJ633;L339-19
GJ634;CD-4311010
GJ637;L74-113
LP806-8;BD-154394
GJ644;HD152751
LTT6745;HD152606
GJ645;L484-31
GJ1207;L988-42
L268-67;L268-67
GJ660;L989-20
GJ660.1;L917-4
GJ1212;L917-26
LP687-17;LP687-17
L845-16;L845-16
L989-38;L989-38
GJ1218;L156-46
GJ674;CD-4611540
LHS3295;L21-3
GJ676A;CD-5110924
GJ680;CD-4811837
GJ682;CD-4411909
L204-148;L204-148
GJ690.1;L774-22
GJ2130A;HD318327
LTT7077;Wolf1473
GJ693;L205-128
L415-82;L415-82
GJ701;L991-14
L43-72;L43-72
LTT7246;G154-52
GJ714;L206-187
GJ2138;G155-29
GJ724;BD-135069
LHS5341;L273-106
LTT7419;CD-3313497
LTT7434;GJ4074
LTT7452;G155-42
L345-091;L345-91
GJ729;Ross154
LHS3413;L207-41
2MASSJ18522528-3730363;L489-43
LHS469;L489-58
HD175224;HD175224
GJ739;CD-4812818
GJ750;CD-4612902
GJ754;L347-14
LHS475;L22-69
L275-26;L275-26
LP925-37;LP925-37
V*V375Pav;L115-21
GJ781.1A;L565-63
GJ784;HD191849
L209-71;L209-71
GJ788.1;CD-587734
GJ791;L639-45
GJ1252;L210-70
L755-19;L755-19
LP567-63;LP567-63
BD-195899;BD-195899
GJ803;V*AUMic
LHS3583;L23-30
GJ808;L46-163
LP816-60;LP816-60
LP756-19;L856-54A
GJ811.1;Wolf896
GJ816;Wolf906
GJ2151;L211-59
GJ817;Ross769
GJ821;Wolf918
LHS3639;CD-4414334
GJ825;V*AXMic
GJ828.2;Wolf920
L714-46;L714-46
GJ831;Wolf922
GJ832;L354-89
LHS512;L570-29
GJ1263;Wolf940
GJ1264;CD-721700
L427-34;L427-34
LHS3719;L165-102
GJ842;L165-2
GJ843;L715-89
LHS3746;L499-56
LHS3748;L283-3
GJ849;BD-055715
LP875-68;BD-225866
GJ855;CD-578545
LHS3804;L356-105
LP876-34;CD-2515988
GJ864;HD214100
L645-74;L645-74
GJ865;L119-21
GJ866;L789-6
GJ867;V*FKAqr
GJ867;L717-22
GJ874;L501-38
LP932-81;LP932-81
LHS5394;LHS5394
GJ876;BD-156290
GJ877;L49-19
GJ887;HD217987
LTT9388;G275-12
LHS3909;LHS3909
LDS5060;**LDS5060
GJ1284;GJ1284
LTT9582;LTT9582
LTT9596;LTT9596
LTT9634;BD-176785
LTT9635;CD-4216413
L26-27;L26-27
GJ912;L937-13
LP764-40;LP764-40
LTT9828;L433-153
LHS4058;L577-87
LP381-4;-
LP453-31;-
LP382-56;-
LP465-84;-
