GJ1001A;LHS102
GJ1;LHS1
LHS1019;LHS1019
L217-28;LTT57
GJ1005;LHS1047
LHS1051;LHS1051
GJ17.1;LHS1061
LHS5004a;LHS5004a
GJ1009;BPM46239
LHS1064;LHS1064
LTT220;G267-100
GJ1012;LHS1084
GJ1013;LHS113
LTT313;G270-12
GJ1016;CD-34239
LHS1134;LHS1134
L87-2;UCAC4129-000857
GJ46;LHS129
LP707-16;G270-164
GJ54;LHS1208
GJ54.1;LHS138
L221-60;L221-60
GJ1036;CD-36491
GJ57;LHS141
LHS142;LHS142
GJ65;GJ65
L870-44;LHS6033
L294-92;L294-92
L173-39;L173-39
GJ78;LHS1303
GJ79;LHS1307
LTT1010;BD-21332
L88-43;L88-43
L655-17;LHS6041
GJ84;LHS149
LHS1339;LHS1339
GJ85;LHS150
LHS1347;LHS1347
LHS1351;LHS1351
GJ91;LHS1361
LHS1373;LHS1373
LHS1377;LHS1377
GJ1046;LHS154a
L225-57;L225-57
GJ103;V*CCEri
L174-28;L174-28
GJ1050;LHS157
LP993-115;CD-44836A
CD-53570;LHS1452
GJ118;LHS160
LTT1445;BD-17588B
GJ121.1;LP771-72
LHS1491;LHS1491
GJ1054;CD-281030
GJ130;LHS167
LP831-45;LP831-45
LP831-68;LP831-68
LP994-96;LP994-96
LTT17505;G77-46
GJ145;CD-451184
LHS1572;LHS1572
G80-21;G80-21
GJ1065;LHS183
LHS1630;LHS1630
GJ163;LHS188
LP715-51;LP715-51
LP834-32;LP834-32
L591-42;L591-42
GJ173;BD-11916
LP715-39;LP715-39
LP776-25;LP776-25
GJ180;LHS1712
LHS1723;LHS1723
GJ185;HD32450
LHS1731;LHS1731
GJ190;LHS203
GJ191;LHS29
GJ1077;LHS205
L449-1;CD-352213
LP717-36;LP717-36
GJ204.2;LHS1766
GJ205;LHS30
LHS5109;LHS5109
LP837-19;LP837-19
GJ218;LHS1787
LP837-53;LP837-53
LTT2449;V*APCol
LP838-16;LP838-16
GJ229;LHS1827
GJ1088;LHS1831
GJ234;Ross614
L32-9;L32-9
GJ238;LHS1855
LP780-32;LP780-32
CD-551514;CD-551514
LP780-23;LP780-23
NLTT16977;NLTT16977
L597-18;L597-18
GJ257;LHS222
GJ263;LHS1895
LHS225;LHS225
GJ2055;L671-20
LP840-16;LP840-16
L136-37;L136-37
GJ1097;LHS1920
GJ2060;CD-294446
LHS1932;LHS1932
L528-16;L528-16
LHS1935;LHS1935
L34-26;L34-26
LHS1955;LHS1955
GJ298;LHS1985
GJ300;LHS1989
LHS1991;LHS1991
LHS1992;LHS1992
LP843-16;LP843-16
L98-59;L98-59
LHS2010;LHS2010
LTT3201;G114-10
GJ317;LHS2037
GJ326;LHS2070
GJ334;BD-082582
L749-34;L749-34
LHS2122;LHS2122
GJ341;LHS2128
Ross439;LHS2145
GJ352;LHS2151
GJ357;LHS2157
GJ358;LHS2166
LHS2177;LHS2177
GJ1128;LHS271
GJ367;LHS2182
GJ1129;LHS273
LTT3613;LP728-70
GJ369;LHS274
LTT3616;LP788-49
GJ372;LHS6177
LP847-48;LP847-48
GJ375;LHS2213
GJ377;LHS277
GJ381;LHS2230
GJ382;V*ANSex
GJ386;LHS2244
LTT3790;L392-39A
LDS303;**LDS303
L142-86;L142-86
GJ390;LHS2259
LTT3877;G162-70
GJ399;LHS2295
GJ1135;CD-366589
LP905-56;LP905-56
LHS2335;LHS2335
HIP54373;BD-183106
GJ413.1;LHS2358
GJ422;LHS40
GJ1144;BD-133333
GJ1145;CD-277978
LP792-17;LP792-17
