GJ1001A;M4V
GJ1;M2V
LHS1019;M2.5
L217-28;M2
GJ1005;M4V
LHS1051;M0.5
GJ17.1;K7.0
LHS5004a;M3Ve
GJ1009;M1.5
LHS1064;-
LTT220;M2.5
GJ1012;M4.18
GJ1013;M3.68
LTT313;M2.5V
GJ1016;K9V
LHS1134;M3
L87-2;-
GJ46;M3V
LP707-16;M3.0
GJ54;M2.5V
GJ54.1;M4.0Ve
L221-60;M0.0
GJ1036;M2.5V
GJ57;M0Vk:
LHS142;M1.5Vk:
GJ65;M5.5V+M6V
L870-44;M3
L294-92;-
L173-39;-
GJ78;M3.5
GJ79;M0V
LTT1010;M2Ve
L88-43;-
L655-17;M2:V
GJ84;M2.5
LHS1339;M2.5+V
GJ85;M1.5
LHS1347;M2.5V
LHS1351;M2.5
GJ91;M2Vk
LHS1373;M3.5
LHS1377;M3Ve
GJ1046;M2.5+V
L225-57;M4
GJ103;K7V
L174-28;M3V
GJ1050;M2.5
LP993-115;M4
CD-53570;M1.5
GJ118;M2.5
LTT1445;M2.5V
GJ121.1;M2.5V
LHS1491;M3.5
GJ1054;M1Ve
GJ130;M3
LP831-45;M3.5
LP831-68;M1.5
LP994-96;M2.5
LTT17505;M2V
GJ145;M2.5V
LHS1572;M2.5
G80-21;M3.0V
GJ1065;M3V
LHS1630;M3.5
GJ163;M3.5
LP715-51;M2.5V
LP834-32;M3.5
L591-42;M3
GJ173;M1V
LP715-39;M3.0V
LP776-25;M3.3V
GJ180;M3V
LHS1723;M4.0Ve
GJ185;K7V
LHS1731;M3V
GJ190;M3.5V
GJ191;M1VIp
GJ1077;M2
L449-1;M4Ve
LP717-36;M3.5V
GJ204.2;M2.5
GJ205;M1.5Ve
LHS5109;M4
LP837-19;-
GJ218;M1.5
LP837-53;M2.5V
LTT2449;M5
LP838-16;-
GJ229;M1V
GJ1088;M3.5
GJ234;M4.5V
L32-9;M2V
GJ238;M2.5
LP780-32;M3.5
CD-551514;M0Vk:
LP780-23;M2.5V
NLTT16977;M3.0
L597-18;M3.5
GJ257;M3.5V
GJ263;M3.5
LHS225;M3V
GJ2055;M2V:
LP840-16;M2.0
L136-37;-
GJ1097;M3V
GJ2060;M1Ve
LHS1932;M3.5
L528-16;M2.5
LHS1935;M3
L34-26;M3Ve
LHS1955;M4
GJ298;M3.0
GJ300;M3.5V
LHS1991;M0V
LHS1992;M2.5
LP843-16;M2
L98-59;-
LHS2010;M3.5
LTT3201;M2
GJ317;M3.5V
GJ326;M3.5V
GJ334;K7V
L749-34;M2V
LHS2122;M3.5
GJ341;M0.0
Ross439;M2.5
GJ352;M3V
GJ357;M2.5V
GJ358;M3V
LHS2177;M2.5V
GJ1128;M4.0V
GJ367;M1.0
GJ1129;M3.5Ve
LTT3613;M4.0
GJ369;M2.0V
LTT3616;M2
GJ372;M2V
LP847-48;M3V
GJ375;M3Ve
GJ377;M3V
GJ381;M2.5V
GJ382;M2V
GJ386;M3
LTT3790;M2
LDS303;-
L142-86;-
GJ390;M1V
LTT3877;M3
GJ399;M2.5
GJ1135;M0.5
LP905-56;M1.5V
LHS2335;M2.5
