GJ1001A;GJ1001 A
GJ1;HD 225213
LHS1019;V* CQ Tuc
L217-28;LTT57
GJ1005;G158-50
LHS1051;GJ3018 
GJ17.1;Gaia DR1 4978671079582592512
LHS5004a;Gaia DR1 4978625037532840832 
GJ1009;Gaia DR1 2316867881025472640
LHS1064;CD-51 89
LTT220;G267-100
GJ1012;LHS1084
GJ1013;LHS113 
LTT313;G270-12
GJ1016;Gaia DR1 5006921312871229184 
LHS1134;GJ3049 
L87-2;UCAC4 129-000857 
GJ46;CD-28 302
LP707-16;G270-164
GJ54;CD-68 47
GJ54.1;V* YZ Cet
L221-60;Gaia DR1 4915139579743028352
GJ1036;Gaia DR1 5013816831325440128 
GJ57;Gaia DR1 4984184821157765888 
LHS142;Gaia DR1 5042734468172061440
GJ65;GJ65 
L870-44;L870-44
L294-92;L294-92
L173-39;L173-39
GJ78;RosS555
GJ79;Gaia DR1 5134635704470855936
LTT1010;Gaia DR1 5135908835856743040 
L88-43;L88-43 
L655-17;Gaia DR1 5136466597489151360 
GJ84;BD-18 359
LHS1339;CD-30 731
GJ85;GJ85 
LHS1347;L728-1 
LHS1351;L125-51
GJ91;CD-32 828
LHS1373;L800-18
LHS1377;Gaia DR1 4971681346726128000 
GJ1046;L440-30
L225-57;L225-57
GJ103;Gaia DR1 4946938108852568448 
L174-28;L174-28
GJ1050;GJ1050 
LP993-115;CD-44 836A 
CD-53570;CD-53 570
GJ118;L127-97
LTT1445;BD-17 588B 
GJ121.1;Gaia DR1 5152365363828101632
LHS1491;LP771-77
GJ1054;Gaia DR1 5059643101581389696
GJ130;CD-38 1058 
LP831-45;LP831-45
LP831-68;LP831-68
LP994-96;LP994-96
LTT17505;Gaia DR1 5169649068141453184 
GJ145;CD-45 1184 
LHS1572;L91-140
G80-21;G80-21 
GJ1065;G160-28
LHS1630;LHS1630
GJ163;Gaia DR1 4780294683438958976
LP715-51;LP715-51
LP834-32;LP834-32
L591-42;L591-42
GJ173;Gaia DR1 3184351872093838592 
LP715-39;LP715-39
LP776-25;Gaia DR1 2980822030590414976 
GJ180;Gaia DR1 2979590577567440384
LHS1723;LP656-38
GJ185;HD 32450
LHS1731;LP776-46
GJ190;Gaia DR1 2976508062359392512 
GJ191;NAME Kapteyn'Sstar
GJ1077;LHS205 
L449-1;CD-35 2213 
LP717-36;LP717-36
GJ204.2;Wolf 1450
GJ205;Gaia DR1 3209938366665770752
LHS5109;Wolf 1457
LP837-19;LP837-19
GJ218;Gaia DR1 2887327052187353472
LP837-53;Gaia DR1 2910909927336246272 
LTT2449;V* APCol
LP838-16;Gaia DR1 2911981882453266176 
GJ229;Gaia DR1 2940856397828565760
GJ1088;GJ1088 
GJ234;RosS614
L32-9;L32-9
GJ238;Gaia DR1 5482827672366163456
LP780-32;LP780-32
CD-551514;CD-55 1514 
LP780-23;LP780-23
NLTT16977;NLTT16977 
L597-18;L597-18
GJ257;CD-44 3045 
GJ263;RosS54 
LHS225;L455-111
GJ2055;Gaia DR1 2929062898670450048
LP840-16;Gaia DR1 2927791347832477696
L136-37;L136-37
GJ1097;LHS1920
GJ2060;CD-29 4446 
LHS1932;L240-16
L528-16;L528-16
LHS1935;LP783-1
L34-26;Gaia DR1 5213167326052013184
LHS1955;L601-78
GJ298;Gaia DR1 5320434443509347328
GJ300;GJ300
LHS1991;BD-13 2439 
LHS1992;LHS1992
LP843-16;Gaia DR1 5694679408146511232 
L98-59;Gaia DR1 5271055238865107840 
LHS2010;LHS2010
LTT3201;G114-10
GJ317;GJ317
GJ326;L820-19
GJ334;Gaia DR1 5743705394673617664
L749-34;Gaia DR1 5680147987591902848
LHS2122;LHS2122
GJ341;Gaia DR1 5299439715658828032 
Ross439;RosS439
GJ352;RosS440
GJ357;Gaia DR1 5664814198431308288
GJ358;Gaia DR1 5425628294349348864
LHS2177;Gaia DR1 5677606810060597248
GJ1128;L100-115
GJ367;Gaia DR1 5412250570738855808
GJ1129;L750-52
LTT3613;LP728-70
GJ369;Gaia DR1 5690980582306104448
LTT3616;LP788-49
GJ372;BD-02 3000 
LP847-48;LP847-48
GJ375;Gaia DR1 5408651800458528512
GJ377;Gaia DR1 5463554195605068800
GJ381;MCC 568 
GJ382;V* AN Sex
GJ386;MCC 573 
LTT3790;L392-39 A 
LDS303;LDS303 
L142-86;L142-86
GJ390;Gaia DR1 3767878704592802176
LTT3877;G162-70
GJ399;Gaia DR1 3774789959807192064
GJ1135;CD-36 6589 
LP905-56;Gaia DR1 5454500164025682816 
LHS2335;GJ3634 
HIP54373;BD-18 3106 
GJ413.1;Gaia DR1 3536123334453183104
GJ422;Gaia DR1 5339892294634736768 
GJ1144;Gaia DR1 3561574967051518080
GJ1145;Gaia DR1 3531296959443397760
LP792-17;LP792-17
LP672-42;LP672-42
GJ431;Gaia DR1 5382821729701958016
L324-51;L324-51
LHS2427;Gaia DR1 3540112500078348416
L66-86;L66-86 
GJ433;Gaia DR1 3478160723569849216
GJ438;Gaia DR1 5369480393048425472
LP793-33;Gaia DR1 3542490090892828032 
GJ443;LP733-71
LHS2460;LP733-24
GJ452;GJ452
LHS5205;L829-24
L829-10;L829-10
LP734-30;LP734-30
LHS2520;LP734-32
L758-108;Gaia DR1 3517841204861700480 
NLTT30359;L18-22 
L38-47;L38-47 
GJ465;RosS695
LP735-48;RosS946
LP735-11;RosS948
L327-121;L327-121
GJ477;CD-45 7872 
GJ479;CD-51 6859 
LHS337;LHS337 
GJ480.1;GJ9415 
LHS2634;G14-1
LP853-34;LP853-34
GJ488;Gaia DR1 3689602272788441600 
LHS5231;LHS5231
LTT4969;RosS972
LHS2668;Gaia DR1 5863130980430698112 
LTT5031;G14-34 
LHS346;LHS346 
WT392;WT392
LHS2718;L473-1 
LHS2729;GJ3780 
GJ510;CD-27 9225 
Ross486A;RosS486A
LTT5282;RosS488
GJ521.1;HD 118926
LHS2794;L762-51
LHS2813;LHS2813
GJ1181;HD 121271
LHS2836;GJ3820 
GJ536;Gaia DR1 3657653144944789504
2MASSJ14040823-6614378;L106-15
CD-3011219;CD-30 11219
GJ2106;Gaia DR1 5895265375990344960
GJ545;RosS848
GJ553;HD 127339
GJ552.1;L260-93
GJ553.1;Wolf 1478
GJ555;BD-11 3759 
GJ563.2A;CD-25 10553A 
LP859-11;LP859-11
G151-37;G152-1 
LHS3056;G152-8 
GJ581;Gaia DR1 6322069882641960448
GJ588;CD-40 9712 
GJ590;LHS3092
GJ592;RosS802
GJ595;GJ595
LHS3117;L841-9 
GJ606;Gaia DR1 4347870366689932544
LP804-27;Gaia DR1 6245870737539431168 
LHS3169;LHS3169
CD-3710765;CD-37 10765
GJ620;CD-24 12677
GJ622;BD-21 4352 
GJ628;Gaia DR1 4330690909825212928
LHS423;LHS423 
GJ633;LHS3233
GJ634;CD-43 11010
GJ637;Gaia DR1 5805810449978761472
LP806-8;BD-15 4394 
GJ644;HD 152751
LTT6745;HD 152606
GJ645;L484-31
GJ1207;GJ1207 
L268-67;Gaia DR1 5924187617032756736
GJ660;GJ660
GJ660.1;GJ660.1
GJ1212;V* V2367 Oph 
LP687-17;LP687-17
L845-16;L845-16
L989-38;L989-38
GJ1218;LHS3292
GJ674;CD-46 11540
LHS3295;LHS3295
GJ676A;Gaia DR1 5925209510013598336
GJ680;Gaia DR1 5946986059359322752
GJ682;CD-44 11909
L204-148;L204-148
GJ690.1;LHS3316
GJ2130A;HD 318327
LTT7077;Wolf 1473
GJ693;LHS454 
L415-82;L415-82
GJ701;HD 165222
L43-72;L43-72 
LTT7246;G154-52
GJ714;CPD-58 7400
GJ2138;Gaia DR1 4103671239348631936 
GJ724;Gaia DR1 4105386718001211392
LHS5341;LHS5341
LTT7419;CD-33 13497
LTT7434;GJ4074 
LTT7452;G155-42
L345-091;L345-91
GJ729;RosS154
LHS3413;LHS3413
2MASSJ18522528-3730363;L489-43
LHS469;L489-58
HD175224;HD 175224
GJ739;CD-48 12818
GJ750;CD-46 12902
GJ754;LHS60
LHS475;LHS475 
L275-26;L275-26
LP925-37;LP925-37
V*V375Pav;V* V375 Pav
GJ781.1A;CD-32 15723
GJ784;HD 191849
L209-71;L209-71
GJ788.1;CD-58 7734 
GJ791;CD-28 16676
GJ1252;LHS492 
L755-19;L755-19
LP567-63;LP567-63
BD-195899;BD-19 5899 
GJ803;V* AU Mic
LHS3583;L23-30 
GJ808;LHS499 
LP816-60;LP816-60
LP756-19;LP756-19
GJ811.1;Wolf 896
GJ816;Wolf 906
GJ2151;LHS5363
GJ817;RosS769
GJ821;Wolf 918
LHS3639;CD-44 14334
GJ825;V* AX Mic
GJ828.2;Wolf 920
L714-46;L714-46
GJ831;Wolf 922
GJ832;HD 204961
LHS512;LHS512 
GJ1263;Wolf 940
GJ1264;CD-72 1700 
L427-34;L427-34
LHS3719;LHS3719
GJ842;CD-60 7821 
GJ843;LHS3744
LHS3746;LHS3746
LHS3748;L283-3 
GJ849;Gaia DR1 2627117283194034944
LP875-68;BD-22 5866 
GJ855;CD-57 8545 
LHS3804;L356-105
LP876-34;CD-25 15988
GJ864;Gaia DR1 2653762573103102592 
L645-74;L645-74
GJ865;GJ865
GJ866;V* EZ Aqr
GJ867;Gaia DR1 2400808137742460032 
GJ874;LHS3855
LP932-81;LP932-81
LHS5394;LHS5394
GJ876;BD-15 6290 
GJ877;LHS531 
GJ887;HD 217987
LTT9388;G275-12
LHS3909;LHS3909
LDS5060;LDS5060
GJ1284;GJ1284 
LTT9582;LTT9582
LTT9596;LTT9596
LTT9634;Gaia DR1 2395413143422586240
LTT9635;CD-42 16413
L26-27;HD 223889
GJ912;Gaia DR1 2442996673778447616
LP764-40;LP764-40
LTT9828;LTT9828
LHS4058;LHS4058
LP381-4;-
LP453-31;-
LP382-56;-
LP465-84;-
